epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,42369.4,0.8891,0.83849,1.11009,0.8869,0.80687,0.87882,0.69949,0.79592,0.61638,1.04086,2.94644e-05,2.94644e-05,2.94644e-05
40,42515,0.8616,0.84282,1.13524,0.89052,0.80453,0.88267,0.70279,0.79361,0.6197,1.03933,2.71082e-05,2.71082e-05,2.71082e-05
41,42655,0.95254,0.91064,1.17862,0.87278,0.79821,0.87813,0.70026,0.80032,0.62781,1.04143,2.4752e-05,2.4752e-05,2.4752e-05
42,42792.9,0.92285,0.86379,1.15022,0.90195,0.78329,0.87821,0.69719,0.80079,0.62628,1.04096,2.23958e-05,2.23958e-05,2.23958e-05
43,42939.7,0.892,0.82818,1.12484,0.89359,0.78605,0.87442,0.69658,0.80386,0.62643,1.0416,2.00396e-05,2.00396e-05,2.00396e-05
44,43080.3,0.88982,0.82558,1.1211,0.87092,0.80036,0.87587,0.69581,0.80914,0.63377,1.04273,1.76834e-05,1.76834e-05,1.76834e-05
45,43224.1,0.89303,0.81101,1.11475,0.86337,0.80542,0.8734,0.69446,0.81298,0.64042,1.04466,1.53272e-05,1.53272e-05,1.53272e-05
46,43370.4,0.86824,0.7808,1.1099,0.89098,0.79198,0.87388,0.69553,0.81211,0.64216,1.04435,1.2971e-05,1.2971e-05,1.2971e-05
47,43516.7,0.89449,0.78323,1.11957,0.88667,0.79355,0.87245,0.69477,0.80809,0.63917,1.04149,1.06148e-05,1.06148e-05,1.06148e-05
48,43662.9,0.87333,0.79042,1.11663,0.89514,0.78864,0.87485,0.69832,0.80404,0.63862,1.03958,8.2586e-06,8.2586e-06,8.2586e-06
49,43818.9,0.91721,0.76837,1.14589,0.89635,0.78945,0.8743,0.69857,0.80321,0.63878,1.03905,5.9024e-06,5.9024e-06,5.9024e-06
50,43976.6,0.88345,0.76171,1.132,0.89484,0.78861,0.87407,0.69895,0.80374,0.63913,1.04017,3.5462e-06,3.5462e-06,3.5462e-06
