epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2149.33,0.93447,0.84912,1.08867,0.86642,0.77514,0.85311,0.66727,0.84611,0.63985,0.98477,2.94644e-05,2.94644e-05,2.94644e-05
40,2203.86,0.91174,0.82818,1.08311,0.8599,0.78174,0.84479,0.66876,0.84387,0.63668,0.98297,2.71082e-05,2.71082e-05,2.71082e-05
41,2255.17,0.96302,0.92126,1.05601,0.88214,0.76589,0.84097,0.66417,0.84877,0.64222,0.98301,2.4752e-05,2.4752e-05,2.4752e-05
42,2306.61,0.94725,0.87402,1.06542,0.88499,0.76224,0.84251,0.66629,0.85189,0.64574,0.98338,2.23958e-05,2.23958e-05,2.23958e-05
43,2357.92,0.98971,0.85178,1.08546,0.85723,0.77556,0.84075,0.66587,0.8538,0.64817,0.98351,2.00396e-05,2.00396e-05,2.00396e-05
44,2409.42,0.9319,0.84129,1.04651,0.86093,0.76843,0.84043,0.66442,0.85762,0.65102,0.98494,1.76834e-05,1.76834e-05,1.76834e-05
45,2461.04,0.9661,0.84705,1.06258,0.86614,0.76705,0.83952,0.66308,0.86002,0.65301,0.9863,1.53272e-05,1.53272e-05,1.53272e-05
46,2512.43,0.92581,0.80953,1.05348,0.87579,0.76484,0.84077,0.66303,0.86078,0.65462,0.98649,1.2971e-05,1.2971e-05,1.2971e-05
47,2564.21,0.94306,0.79044,1.05285,0.87545,0.76597,0.84051,0.66037,0.861,0.65622,0.98684,1.06148e-05,1.06148e-05,1.06148e-05
48,2615.33,0.9186,0.80196,1.05999,0.8762,0.76913,0.84151,0.66072,0.86244,0.65657,0.98756,8.2586e-06,8.2586e-06,8.2586e-06
49,2666.37,0.91842,0.8037,1.06045,0.88469,0.76774,0.84085,0.65909,0.86263,0.65709,0.9874,5.9024e-06,5.9024e-06,5.9024e-06
50,2717.95,0.88923,0.74988,1.04876,0.88285,0.76542,0.8411,0.65961,0.86129,0.65705,0.98664,3.5462e-06,3.5462e-06,3.5462e-06
