epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4135.21,0.9316,0.85391,1.1212,0.88769,0.78497,0.86901,0.68176,0.85099,0.65277,1.0272,2.94644e-05,2.94644e-05,2.94644e-05
40,4225.95,0.90269,0.82876,1.11441,0.89295,0.7812,0.8674,0.68032,0.84994,0.64942,1.02655,2.71082e-05,2.71082e-05,2.71082e-05
41,4317.45,0.97329,0.92919,1.1138,0.88477,0.78592,0.86919,0.68332,0.84966,0.64927,1.02578,2.4752e-05,2.4752e-05,2.4752e-05
42,4414.04,0.96964,0.86086,1.12535,0.88533,0.78383,0.86301,0.68148,0.85331,0.65259,1.02749,2.23958e-05,2.23958e-05,2.23958e-05
43,4504.62,0.99374,0.87509,1.13017,0.869,0.77535,0.85286,0.67805,0.85748,0.65755,1.02824,2.00396e-05,2.00396e-05,2.00396e-05
44,4599.03,0.97873,0.87862,1.11455,0.86377,0.77171,0.85187,0.67915,0.86006,0.6623,1.02973,1.76834e-05,1.76834e-05,1.76834e-05
45,4688.72,0.97298,0.87722,1.11009,0.86243,0.77295,0.84937,0.67587,0.86213,0.66723,1.0298,1.53272e-05,1.53272e-05,1.53272e-05
46,4785.52,0.96703,0.8317,1.12264,0.83549,0.78565,0.84838,0.67446,0.8634,0.67084,1.0303,1.2971e-05,1.2971e-05,1.2971e-05
47,4889.51,0.95706,0.80403,1.10318,0.84381,0.78556,0.84846,0.67432,0.86303,0.67429,1.02962,1.06148e-05,1.06148e-05,1.06148e-05
48,5004.38,0.9446,0.85587,1.12175,0.84586,0.77622,0.84892,0.67452,0.86243,0.67483,1.02978,8.2586e-06,8.2586e-06,8.2586e-06
49,5129.94,0.95333,0.82619,1.11982,0.86617,0.76959,0.84861,0.67312,0.86277,0.67535,1.02993,5.9024e-06,5.9024e-06,5.9024e-06
50,5249.51,0.91157,0.77214,1.11805,0.84763,0.77772,0.85158,0.67448,0.86344,0.67512,1.03037,3.5462e-06,3.5462e-06,3.5462e-06
